"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Free State of Jones ",139,"Gary Ross",378,"Matthew McConaughey",11000,"Donald Watkins",552,"Jessica Collins",303,79,47,3077,12786,10000,"american civil war|civil war|u.s. civil war",1,"Color","Action|Biography|Drama|History|War",2016,"English","USA","R",1.85,"http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1",20389967,5e+07,6.7
"The Last Days on Mars ",98,"Ruairi Robinson",7,"Romola Garai",805,"Olivia Williams",766,"Tom Cullen",507,120,160,28570,2271,0,"alien infection|astronaut|mars|mission|zombie",0,"Color","Horror|Sci-Fi|Thriller",2013,"English","UK","R",2.35,"http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1",23838,7e+06,5.5
"Willard ",100,"Glen Morgan",17,"Laura Harring",669,"Ty Olsson",429,"Jackie Burroughs",86,129,213,15169,1267,0,"at work|rat|revenge|vermin|work",0,"Color","Drama|Horror|Sci-Fi|Thriller",2003,"English","Canada","PG-13",2.35,"http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1",6852144,2.2e+07,6.2
"Kiss Kiss Bang Bang ",103,"Shane Black",1000,"Robert Downey Jr.",21000,"Corbin Bernsen",1000,"Larry Miller",611,223,336,175962,23932,0,"actor|detective sergeant|hotel|nightclub|thief",2,"Color","Comedy|Crime|Mystery",2005,"English","USA","R",2.35,"http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1",4235837,1.5e+07,7.6
"Robin Hood: Prince of Thieves ",155,"Kevin Reynolds",58,"Alan Rickman",25000,"Morgan Freeman",11000,"Michael Wincott",720,67,322,145257,38518,0,"balladeer|crusades|england|king|modern minstrel",0,"Color","Action|Adventure|Drama|Romance",1991,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1",165500000,4.8e+07,6.9
"Suspect Zero ",99,"E. Elias Merhige",54,"Harry Lennix",748,"Kevin Chamberlin",489,"William Mapother",398,101,139,16555,1721,817,"fbi|fbi agent|murder|salesman|serial killer",0,"Color","Crime|Drama|Mystery|Thriller",2004,"English","USA","R",1.33,"http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1",8712564,2.7e+07,5.9
"Larry Crowne ",98,"Tom Hanks",15000,"Tom Hanks",15000,"Rob Riggle",839,"Randall Park",392,218,184,49205,16827,0,"bus stop|college|community college|scooter|speech class",0,"Color","Comedy|Drama|Romance",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1",35565975,3e+07,6.1
"The Expendables 2 ",103,"Simon West",165,"Jason Statham",26000,"Sylvester Stallone",13000,"Bruce Willis",13000,383,474,246803,57881,108000,"church|hostage|mine|plutonium|revenge",3,"Color","Action|Adventure|Thriller",2012,"English","USA","R",2.35,"http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1",85017401,9.2e+07,6.7
"The Broadway Melody ",100,"Harry Beaumont",4,"Anita Page",77,"Bessie Love",28,"Charles King",4,36,71,4546,109,167,"sibling rivalry|singer|sister act|whistling|wisecrack humor",8," Black and White","Musical|Romance",1929,"English","USA","Passed",1.37,"http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1",2808000,379000,6.3
"Bringing Down the House ",105,"Adam Shankman",163,"Angus T. Jones",1000,"Kimberly J. Brown",409,"Steve Harris",338,121,236,30058,2505,800,"divorce|lawyer|spanking|villain arrested|wrongful conviction",2,"Color","Comedy",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1",132541238,3.3e+07,5.5
"Save the Last Dance ",112,"Thomas Carter",49,"Sean Patrick Thomas",656,"Terry Kinney",363,"Fredro Starr",237,101,320,47876,1307,0,"dance|dancing|ghetto|hip hop|imperative in title",0,"Color","Drama|Music|Romance",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1",91038276,1.3e+07,6.1
"Central Intelligence ",107,"Rawson Marshall Thurber",43,"Dwayne Johnson",12000,"Thomas Kretschmann",919,"Megan Park",569,177,110,33354,14569,10000,"accountant|blooper|espionage|facebook|high school reunion",2,"Color","Action|Comedy|Crime",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1",126088877,5e+07,6.6
"Mission to Mars ",114,"Brian De Palma",0,"Don Cheadle",3000,"Connie Nielsen",933,"Kim Delaney",281,181,949,60467,4902,0,"astronaut|mars|mars the planet|outer space|zero gravity",0,"Color","Adventure|Sci-Fi|Thriller",2000,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1",60874615,9e+07,5.6
"Bad Boys II ",147,"Michael Bay",0,"Will Smith",10000,"Henry Rollins",898,"Jordi Mollà",877,94,511,178126,12954,0,"cuba|dea|drugs|money|undercover",1,"Color","Action|Comedy|Crime|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1",138396624,1.3e+08,6.6
"My Fair Lady ",170,"George Cukor",165,"Jeremy Brett",453,"Rex Harrison",272,"Theodore Bikel",244,82,258,66959,1164,0,"colonel|flower girl|professor|street|wager",1,"Color","Drama|Family|Musical|Romance",1964,"English","USA","Approved",2.2,"http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1",72000000,1.7e+07,7.9
"The Fault in Our Stars ",133,"Josh Boone",131,"Shailene Woodley",8000,"Sam Trammell",1000,"Nat Wolff",733,326,548,249688,10565,93000,"cancer|falling in love|friendship|novel|teenager",0,"Color","Drama|Romance",2014,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1",124868837,1.2e+07,7.8
"Flags of Our Fathers ",135,"Clint Eastwood",16000,"Paul Walker",23000,"Chris Bauer",638,"Tom McCarthy",310,279,415,101221,24468,0,"imperial japan|japan|japanese army|japanese soldier|world war two",0,"Color","Drama|History|War",2006,"English","USA","R",2.35,"http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1",33574332,9e+07,7.1
"Smokin' Aces ",109,"Joe Carnahan",248,"Ryan Reynolds",16000,"Common",988,"Alex Rocco",968,186,482,121058,19410,3000,"casino|fbi|mafia|mob hit|sniper",0,"Color","Action|Crime|Drama|Thriller",2006,"English","UK","R",2.35,"http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1",35635046,1.7e+07,6.7
"Gory Gory Hallelujah ",96,"Sue Corcoran",14,"Tony Doupe",361,"Sue Corcoran",14,"David Frederick White",6,8,18,179,387,39,"conspiracy|feminist|hippie|motorcycle|slapstick comedy",2,"Color","Comedy|Fantasy|Horror|Musical",2003,"English","USA","",1.78,"http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1",11798,1e+05,4.7
"The Last Emperor ",219,"Bernardo Bertolucci",973,"Cary-Hiroyuki Tagawa",1000,"Joan Chen",643,"Victor Wong",400,75,133,70274,2451,0,"abdication|china|emperor|forbidden city|republic",0,"Color","Biography|Drama|History",1987,"English","China","PG-13",2.35,"http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1",43984230,2.3e+07,7.8
"Old School ",88,"Todd Phillips",480,"Will Ferrell",8000,"Leah Remini",909,"Patrick Fischler",497,123,404,185258,10325,0,"college|fraternity|friend|house|party",4,"Color","Comedy",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1",74608545,2.4e+07,7.2
"Universal Soldier: The Return ",83,"Mic Rodgers",7,"Michael Jai White",2000,"Daniel von Bargen",577,"Xander Berkeley",485,75,162,24216,4024,401,"combat|computer|general|military|reporter",0,"Color","Action|Sci-Fi",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1",10431220,2.4e+07,4.1
"To Save a Life ",120,"Brian Baugh",3,"Randy Wayne",984,"Sean Michael Afable",801,"D. David Morin",234,20,55,4583,2563,0,"basketball|beer pong|childhood friend|christian|suicide",1,"Color","Drama",2009,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1",3773863,1e+06,7.1
"Gothika ",98,"Mathieu Kassovitz",326,"Robert Downey Jr.",21000,"Charles S. Dutton",534,"Bernard Hill",416,207,376,89557,22318,0,"memory|murder|patient|psychiatrist|the devil",1,"Color","Horror|Mystery|Thriller",2003,"English","USA","R",1.85,"http://www.imdb.com/title/tt0348836/?ref_=fn_tt_tt_1",59588068,4e+07,5.8
"Highlander ",110,"Russell Mulcahy",85,"Christopher Lambert",1000,"Jon Polito",309,"Celia Imrie",186,112,316,98629,1852,0,"combat|head cut off|immortal|scotland|swordsman",1,"Color","Action|Adventure|Fantasy",1986,"English","UK","R",1.85,"http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1",5900000,1.6e+07,7.2
"Rabbit-Proof Fence ",94,"Phillip Noyce",176,"Roy Billing",116,"David Gulpilil",93,"Deborah Mailman",46,74,249,23486,312,0,"aborigine|based on true story|colonialism|fence|half caste",1,"Color","Adventure|Biography|Drama|History",2002,"Aboriginal","Australia","PG",2.35,"http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1",6165429,6e+06,7.5
"Beyond the Sea ",118,"Kevin Spacey",18000,"Kevin Spacey",18000,"Bob Hoskins",5000,"Brenda Blethyn",286,113,248,12821,23689,0,"bobby darin|career|love|marriage|sandra dee",1," Black and White","Biography|Drama|Music|Musical",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1",6144806,2.3e+07,6.7
"The Messenger ",105,"Oren Moverman",38,"Steve Buscemi",12000,"Yaya DaCosta",712,"Eamonn Walker",706,217,92,29608,14462,0,"captain|casualty notification|casualty notification team|sergeant|staff sergeant",0,"Color","Drama|Romance|War",2009,"English","USA","R",2.35,"http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1",66637,6500000,7.2
"Double Impact ",110,"Sheldon Lettich",23,"Bolo Yeung",633,"Alonna Shaw",67,"Kamel Krifa",51,40,72,28736,874,0,"boat|hong kong|murder|tunnel|twins",2,"Color","Action|Crime",1991,"English","USA","R",1.85,"http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1",30102717,1.5e+07,5.5
"The Tourist ",103,"Florian Henckel von Donnersmarck",207,"Johnny Depp",40000,"Angelina Jolie Pitt",11000,"Rufus Sewell",3000,321,374,176606,55175,25000,"police surveillance|surveillance van|tailing a suspect|tourist|venice italy",0,"Color","Action|Romance|Thriller",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1",67631157,1e+08,6
"Casino Royale ",144,"Martin Campbell",258,"Eva Green",6000,"Tobias Menzies",1000,"Ivana Milicevic",834,400,2301,470483,9125,0,"casino|espionage|free running|james bond|terrorist",1," Black and White","Action|Adventure|Thriller",2006,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1",167007184,1.5e+08,8
"A.I. Artificial Intelligence ",146,"Steven Spielberg",14000,"Haley Joel Osment",3000,"William Hurt",882,"Kevin Sussman",681,281,2153,238747,6217,11000,"affection|boy|fairy|future|robot",0,"Color","Adventure|Drama|Sci-Fi",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1",78616689,1e+08,7.1
"Die Hard 2 ",124,"Renny Harlin",212,"Bruce Willis",13000,"John Amos",982,"Franco Nero",576,142,316,269858,16595,0,"airport|fuel|plane|police|terrorist",0,"Color","Action|Thriller",1990,"English","USA","R",2.35,"http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1",117541000,7e+07,7.1
"The Young Messiah ",111,"Cyrus Nowrasteh",19,"Clive Russell",241,"Vincent Walsh",118,"Finn Ireland",107,24,30,1449,824,0,"based on novel",0,"Color","Drama",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1",6462576,18500000,5.4
"Nutty Professor II: The Klumps ",109,"Peter Segal",88,"Larry Miller",611,"Janet Jackson",592,"Chris Elliott",571,94,171,39391,2818,374,"alter ego|marriage|professor|scientist|serum",1,"Color","Comedy|Romance|Sci-Fi",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1",123307945,6.5e+07,4.3
"For Your Eyes Only ",127,"John Glen",46,"Julian Glover",844,"Topol",402,"Desmond Llewelyn",244,112,263,72085,2118,2000,"agent|british|ice skater|ship|spy",1,"Color","Action|Adventure|Thriller",1981,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1",62300000,2.8e+07,6.8
"Reno 911!: Miami ",84,"Robert Ben Garant",134,"Wendi McLendon-Covey",655,"Thomas Lennon",651,"Carlos Alazraqui",307,89,73,23928,2737,441,"beach|police|sex scene|spring break|vomiting",2,"Color","Comedy|Crime",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1",20339754,1e+07,5.9
"G-Force ",88,"Hoyt Yeatman",12,"Kelli Garner",730,"Piper Mackenzie Harris",607,"Niecy Nash",182,145,90,33042,2217,0,"fbi director|guinea pig|household appliance|secret agent|talking mouse",0,"Color","Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi",2009,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1",119420252,1.5e+08,5.1
"Unfaithful ",124,"Adrian Lyne",213,"Olivier Martinez",838,"Erik Per Sullivan",593,"Chad Lowe",372,152,533,63067,2583,0,"erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband",0,"Color","Drama|Thriller",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1",52752475,5e+07,6.7
"Girl, Interrupted ",127,"James Mangold",446,"Angelina Jolie Pitt",11000,"Clea DuVall",1000,"Vanessa Redgrave",898,133,385,125421,13433,0,"1960s|father daughter incest|mental hospital|suicide|suicide attempt",0,"Color","Biography|Drama",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1",28871190,2.4e+07,7.3
"Alien: Resurrection ",116,"Jean-Pierre Jeunet",0,"Gary Dourdan",1000,"Michael Wincott",720,"Raymond Cruz",672,223,656,170179,3090,0,"alien|blood|breeding|clone|scientist",0,"Color","Action|Horror|Sci-Fi",1997,"English","USA","R",2.35,"http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1",47748610,7.5e+07,6.3
"Boynton Beach Club ",105,"Susan Seidelman",39,"Dyan Cannon",267,"Michael Nouri",225,"Brenda Vaccaro",183,35,27,746,1231,88,"title spoken by character",8,"Color","Comedy|Romance",2005,"English","USA","R",1.85,"http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1",3123749,1500000,6.5
"Of Gods and Men ",122,"Xavier Beauvois",22,"Lambert Wilson",186,"Michael Lonsdale",135,"Olivier Rabourdin",32,195,89,12411,416,0,"catholic church|community|monastery|monk|terrorist",0,"Color","Drama",2010,"French","France","PG-13",2.35,"http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1",3950029,4e+06,7.2
"Big Trouble ",74,"Barry Sonnenfeld",188,"Zooey Deschanel",11000,"Janeane Garofalo",1000,"Omar Epps",865,87,186,17307,13917,892,"airport|fbi agent|person in a car trunk|suitcase|suitcase bomb",2,"Color","Comedy|Crime|Thriller",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1",7262288,4e+07,6.5
"The Shaggy Dog ",98,"Brian Robbins",48,"Robert Downey Jr.",21000,"Joel David Moore",936,"Kristin Davis",722,76,83,14888,24664,747,"animal as human|dog movie|elevator|human becoming an animal|sheepdog",0,"Color","Comedy|Family|Fantasy",2006,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1",61112916,5e+07,4.4
"Flirting with Disaster ",92,"David O. Russell",737,"Lily Tomlin",718,"Mary Tyler Moore",524,"David Patrick Kelly",380,50,105,15088,2240,824,"adoption|armpit fetish|mistaken identity|new mexico|overalls",3,"Color","Comedy",1996,"English","USA","R",1.85,"http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1",14891000,7e+06,6.8
"Michael Collins ",133,"Neil Jordan",277,"Alan Rickman",25000,"Liam Neeson",14000,"Julia Roberts",8000,44,93,24145,48482,0,"ireland|irish|irish civil war|irish free state|sinn fein",2," Black and White","Biography|Drama|Thriller|War",1996,"English","UK","R",1.85,"http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1",11030963,2.8e+07,7.1
"One Man's Hero ",121,"Lance Hool",0,"Tom Berenger",854,"Joaquim de Almeida",578,"Mark Moses",353,10,42,899,2705,271,"american|battalion|catholic|mexican|sergeant",2,"Color","Action|Drama|History|Romance|War|Western",1999,"English","Spain","R",2.35,"http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1",229311,11350000,6.2
"The Sweetest Thing ",90,"Roger Kumble",16,"Judith Chapman",44,"Lillian Adams",28,"Chelsea Bond",16,99,403,46158,132,0,"female removes her clothes|roommate|voyeur|voyeurism|wedding",3,"Color","Comedy|Romance",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1",24430272,4.3e+07,5.1
"Get on Up ",139,"Tate Taylor",150,"Tika Sumpter",521,"Josh Hopkins",491,"Aunjanue Ellis",400,165,104,15843,2060,11000,"1970s|1980s|african american|breaking the fourth wall|mother son relationship",0,"Color","Biography|Drama|Music",2014,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1",30513940,3e+07,6.9
"L'auberge espagnole ",111,"Cédric Klapisch",82,"Romain Duris",809,"Cécile De France",447,"Iddo Goldberg",269,88,149,34383,1858,0,"apartment|erasmus|language|student|trip",0,"Color","Comedy|Drama",2002,"French","France","R",1.85,"http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1",3895664,5300000,7.3
"Seabiscuit ",140,"Gary Ross",378,"Jeff Bridges",12000,"Michael Angarano",947,"Michael O'Neill",599,175,455,57661,13808,0,"horse|horse racing|jockey|limp|seabiscuit",0," Black and White","Drama|History|Sport",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1",120147445,8.7e+07,7.3
"Big Hero 6 ",102,"Don Hall",38,"Damon Wayans Jr.",756,"Daniel Henney",719,"Abraham Benrubi",562,384,433,279093,2963,41000,"high tech|martial arts|masked man|robot|superhero",0,"Color","Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi",2014,"English","USA","PG",2.39,"http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1",222487711,1.65e+08,7.9
"The Dark Knight ",152,"Christopher Nolan",22000,"Christian Bale",23000,"Heath Ledger",13000,"Morgan Freeman",11000,645,4667,1676169,57802,37000,"based on comic book|dc comics|psychopath|star died before release|urban setting",0,"Color","Action|Crime|Drama|Thriller",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1",533316061,1.85e+08,9
"Lake Placid ",82,"Steve Miner",49,"Oliver Platt",1000,"Bridget Fonda",888,"Ty Olsson",429,152,366,42761,3313,2000,"crocodile|eaten alive|lake|maine|sheriff",0,"Color","Action|Comedy|Horror",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1",31768374,2.7e+07,5.6
"No Strings Attached ",108,"Ivan Reitman",425,"Natalie Portman",20000,"Greta Gerwig",962,"Mindy Kaling",766,245,178,168717,22739,24000,"ex girlfriend|funeral|hospital|male objectification|summer camp",1,"Color","Comedy|Romance",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1",70625986,2.5e+07,6.2
"Get Hard ",107,"Etan Cohen",164,"Will Ferrell",8000,"Alison Brie",2000,"Craig T. Nelson",723,173,144,85629,12556,14000,"camera focus on female butt|gay bar|millionaire|singing in a car|two word title",2,"Color","Comedy|Crime",2015,"English","USA","R",1.85,"http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1",90353764,4e+07,6
"Kung Fu Panda 3 ",95,"Alessandro Carloni",5,"J.K. Simmons",24000,"Angelina Jolie Pitt",11000,"Wayne Knight",967,210,145,64322,36095,24000,"china|kung fu|panda|pig|village",0,"Color","Action|Adventure|Animation|Comedy|Family",2016,"English","USA","PG",2.35,"http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1",143523463,1.45e+08,7.2
"The Brothers Solomon ",93,"Bob Odenkirk",0,"Jenna Fischer",966,"Lee Majors",799,"Will Forte",622,51,46,9517,3307,319,"antarctica|coma|neighbor|phd|pregnancy",2,"Color","Comedy",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1",900926,1e+07,5.3
"Lucky Number Slevin ",110,"Paul McGuigan",118,"Bruce Willis",13000,"Morgan Freeman",11000,"Dorian Missick",1000,202,507,262153,26451,10000,"coroner|death|gay son|love|mistaken identity",3,"Color","Crime|Drama|Mystery|Thriller",2006,"English","Germany","R",2.35,"http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1",22494487,2.7e+07,7.8
"Go for It! ",105,"Carmen Marron",29,"Jossara Jinaro",847,"Aimee Garcia",618,"Rene Rosado",76,8,10,1015,1668,566,"exclamation point in title|imperative in title|punctuation in title|three word title",0,"Color","Drama|Musical",2011,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1",178739,2450000,3.9
"Torque ",84,"Joseph Kahn",33,"Dane Cook",1000,"Jay Hernandez",1000,"Christina Milian",1000,86,207,23747,5039,0,"murder|on the run|security camera|surveillance footage|timebomb",0,"Color","Action|Comedy|Crime",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1",21176322,4e+07,4
"Men in Black 3 ",106,"Barry Sonnenfeld",188,"Will Smith",10000,"Michael Stuhlbarg",816,"Nicole Scherzinger",718,451,341,268154,12572,40000,"alien|criminal|m.i.b.|maximum security prison|prison",1,"Color","Action|Adventure|Comedy|Family|Fantasy|Sci-Fi",2012,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1",179020854,2.25e+08,6.8
"Pride & Prejudice ",135,"Joe Wright",456,"Talulah Riley",422,"Brenda Blethyn",286,"Simon Woods",241,177,1058,193455,1083,17000,"bachelor|england|gentleman|georgian|love",2,"Color","Drama|Romance",2005,"English","France","PG",2.35,"http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1",38372662,2.8e+07,7.8
"The Act of Killing ",96,"Joshua Oppenheimer",50,"Anwar Congo",3,"Herman Koto",3,"Syamsul Arifin",0,248,107,23836,6,20000,"death squad|mass killing|musical number|reference to guantanamo bay|surrealism",1,"Color","Biography|Crime|Documentary|History",2012,"Indonesian","UK","Not Rated",1.85,"http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1",484221,1e+06,8.2
